Altium Designer Pick and Place Locations
C:\Users\a.nikitin.KFT\Desktop\BareMetal-PLC-XL\doc\pcb\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       14.01.26
Time:       15:46
Revision:   8d40ef471fb9a885f2d77e4f016b2022284bce66
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R68","2.7K","TopLayer","R_0402","3192.913","-440.945","0","Resistor"
"D12","Yellow","TopLayer","LED_0603","2610.236","-211.811","0","LED"
"C55","100nF 16V","TopLayer","C_0402","3192.913","-299.213","0","Capacitor"
"C46","100nF 16V","TopLayer","C_0402","3066.929","-161.417","270","Capacitor"
"Y3","NX3225GD","TopLayer","NX3225GD","2645.667","-1228.343","90","Crystal Oscillator"
"U20","STM32F103CBU6","TopLayer","STM-UFQFPN48_M","2667.323","-886.811","90","STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85°C Temperature, 48-Pin VFQFPN, Tray"
"R43","22","TopLayer","R_0402","1677.165","-322.835","270","Resistor"
"R42","22","TopLayer","R_0402","2720.472","-629.921","90","Resistor"
"R41","22","TopLayer","R_0402","2911.952","-847.890","0","Resistor"
"R40","100K","TopLayer","R_0402","2799.213","-1122.047","90","Resistor"
"R39","100K","TopLayer","R_0402","2476.378","-909.449","90","Resistor"
"R38","4.7K","TopLayer","R_0402","2523.622","-1125.984","270","Resistor"
"R37","100","TopLayer","R_0402","2783.465","-645.669","180","Resistor"
"R36","1.5K","TopLayer","R_0402","2570.866","-625.984","180","Resistor"
"R35","4.7K","TopLayer","R_0402","2869.095","-1057.086","0","Resistor"
"R34","4.7K","TopLayer","R_0402","2869.095","-1100.394","0","Resistor"
"R30","36K","TopLayer","R_0402","2426.181","-855.315","270","Resistor"
"R29","100","TopLayer","R_0402","2476.378","-822.835","270","Resistor"
"R28","10K","TopLayer","R_0402","2426.181","-780.512","90","Resistor"
"D5","Red","TopLayer","LED_0603","3122.441","-503.937","0","LED"
"C45","100nF 16V","TopLayer","C_0402","2755.905","-1122.047","270","Capacitor"
"C44","8pF 50V","TopLayer","C_0402","2681.102","-1125.984","90","Capacitor"
"C43","8pF 50V","TopLayer","C_0402","2610.236","-1125.984","90","Capacitor"
"C42","100nF 16V","TopLayer","C_0402","2476.378","-984.252","270","Capacitor"
"C41","100nF 16V","TopLayer","C_0402","2527.559","-696.850","0","Capacitor"
"C36","100nF 16V","TopLayer","C_0402","2854.331","-744.095","270","Capacitor"
"Q2","MMBT9013","TopLayer","SOT23","2423.504","-663.287","180","NPN Bipolar Transistor"
"C34","10uF 50V","TopLayer","C_1206","779.528","-2114.173","270","Capacitor"
"C6","8pF 50V","TopLayer","C_0603","1248.032","-606.299","0","Capacitor"
"U26","LAN8720A-CP-TR","TopLayer","QFN50P400X400X100-25N","2476.189","-2043.307","270","Phy Eth 2/2 Transceiver Full RMII 24-QFN-EP _4x4_"
"U17","K7805-500R3","TopLayer","K7805500R3","1080.315","-2133.858","0","Non-isolated dc-dc"
"Q6","SI2309A","TopLayer","SOT23","481.945","-2084.831","180","P-Channel MOSFET"
"C35","22uF 25V","TopLayer","C_1206","1393.701","-2114.173","90","Capacitor"
"U16","GAQY221R2S","TopLayer","SOP254P700X270-4N","573.319","-1197.937","180","Solid State Relay 60V 250mA"
"U15","GAQY252G3EH","TopLayer","SMD-4P","605.315","-232.284","180","Solid State Relay 60V 3A"
"U14","GAQY221R2S","TopLayer","SOP254P700X270-4N","569.882","-1381.890","180","Solid State Relay 60V 250mA"
"U13","GAQY221R2S","TopLayer","SOP254P700X270-4N","569.882","-1559.055","180","Solid State Relay 60V 250mA"
"U12","GAQY252G3EH","TopLayer","SMD-4P","605.315","-425.197","180","Solid State Relay 60V 3A"
"U11","GAQY221R2S","TopLayer","SOP254P700X270-4N","569.882","-1732.283","180","Solid State Relay 60V 250mA"
"U10","GAQY252G3EH","TopLayer","SMD-4P","605.315","-618.110","180","Solid State Relay 60V 3A"
"U9","GAQY221R2S","TopLayer","SOP254P700X270-4N","569.882","-1909.449","180","Solid State Relay 60V 250mA"
"U8","GAQY252G3EH","TopLayer","SMD-4P","605.315","-811.024","180","Solid State Relay 60V 3A"
"U7","GAQY252G3EH","TopLayer","SMD-4P","605.315","-1003.937","180","Solid State Relay 60V 3A"
"U6","CA-IS3988P","TopLayer","SOP64P600X175-20N","1354.331","-1582.677","0","Isolated Octal Industrial Digital Input"
"R17","2.4k","TopLayer","R_0805","1104.921","-1314.087","270","Resistor"
"R16","6.2k","TopLayer","R_0805","947.441","-1314.087","270","Resistor"
"R15","2.4k","TopLayer","R_0805","1104.921","-1444.008","270","Resistor"
"R14","6.2k","TopLayer","R_0805","947.441","-1444.008","270","Resistor"
"R13","2.4k","TopLayer","R_0805","1104.921","-1573.929","270","Resistor"
"R12","6.2k","TopLayer","R_0805","947.441","-1573.929","270","Resistor"
"R11","2.4k","TopLayer","R_0805","1104.921","-1703.850","270","Resistor"
"R10","6.2k","TopLayer","R_0805","947.441","-1703.850","270","Resistor"
"R9","2.4k","TopLayer","R_0805","1104.921","-1833.772","270","Resistor"
"R8","6.2k","TopLayer","R_0805","947.441","-1833.772","270","Resistor"
"C33","2.2nF 50V","TopLayer","C_0805","1026.181","-1314.087","270","Capacitor"
"C32","2.2nF 50V","TopLayer","C_0805","1026.181","-1444.008","270","Capacitor"
"C31","2.2nF 50V","TopLayer","C_0805","1026.181","-1573.929","270","Capacitor"
"C29","2.2nF 50V","TopLayer","C_0805","1026.181","-1703.850","270","Capacitor"
"C28","2.2nF 50V","TopLayer","C_0805","1026.181","-1833.772","270","Capacitor"
"R58","10","TopLayer","R_0603","2154.622","-1978.047","0","Resistor"
"R75","10k","TopLayer","R_0603","2731.299","-1793.307","270","Resistor"
"X4","HR915340A","TopLayer","RJ45-TH_HR915340A","3351.377","-1883.866","270","DIP RJ45 Connector;"
"R52","33","TopLayer","R_0603","2292.417","-2151.575","0","Resistor"
"C53","30pF 50V","TopLayer","C_0603","2486.220","-1844.488","90","Capacitor"
"X1","1787056","TopLayer","DMC_1.5/_6-G1F-3.5-LR_P20THR_1787056","3499.016","-998.032","270","THR-3.5-12P"
"R60","12.1k","TopLayer","R_0603","2728.347","-1887.795","180","Resistor"
"R59","330","TopLayer","R_0603","2620.563","-1793.307","90","Resistor"
"R72","330","TopLayer","R_0603","2676.181","-1793.307","90","Resistor"
"R71","4.7k","TopLayer","R_0603","2154.622","-2033.165","0","Resistor"
"R57","10","TopLayer","R_0603","2154.433","-1922.445","0","Resistor"
"R50","10","TopLayer","R_0603","2154.622","-2088.283","0","Resistor"
"R49","49.9","TopLayer","R_0603","2836.614","-2012.780","0","Resistor"
"R48","49.9","TopLayer","R_0603","2728.347","-1952.756","180","Resistor"
"R47","49.9","TopLayer","R_0603","2728.347","-2135.528","180","Resistor"
"R46","49.9","TopLayer","R_0603","2836.614","-2074.787","0","Resistor"
"R53","10k","TopLayer","R_0603","2292.417","-2207.193","180","Resistor"
"L2","1uH","TopLayer","L_0603","2882.874","-1756.890","0","Inductor"
"Y5","X503225MSB2GI","TopLayer","X5032","2455.709","-1719.488","0","Crystal Oscillator"
"C52","1uF 50V","TopLayer","C_0603","2433.866","-2182.087","0","Capacitor"
"C51","1uF 50V","TopLayer","C_0603","2273.622","-1883.858","0","Capacitor"
"C49","0.022uF","TopLayer","C_0603","2974.409","-1941.929","90","Capacitor"
"C48","30pF 50V","TopLayer","C_0603","2419.291","-1844.488","90","Capacitor"
"U21","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","3311.024","-413.386","270","17V Clamp 5A (8/20Aµs) Ipp Tvs Diode Surface Mount SOT-23-6"
"R45","5.1k","TopLayer","R_0603","3589.417","-370.434","270","Resistor"
"R44","5.1k","TopLayer","R_0603","3506.740","-370.434","270","Resistor"
"Y2","NX3215SA-32.768K-STD-MUA-14","TopLayer","XTAL_NX3215SA-32.768K-STD-MUA-8","1141.732","-645.669","90","Crystal Oscillator"
"D8","BAT54","TopLayer","SOT23","1033.740","-484.252","0","Diode"
"C7","0.1uF 50V","TopLayer","C_0603","1303.149","-503.937","270","Capacitor"
"BAT1","2998TR","TopLayer","BAT_2998TR","1162.402","-279.528","180","Battery"
"C5","8pF 50V","TopLayer","C_0603","1248.032","-688.976","0","Capacitor"
"U5","SN75176BDR","TopLayer","SO-8","3098.425","-996.063","0","RS485 Half Duplex Convertor"
"U4","ST232CTR","TopLayer","TSSOP16_STM","3120.272","-1415.072","270","ST232CTR"
"D10","SM712-02HTG","TopLayer","SOT23","3316.441","-996.063","180","ESD"
"C27","0.1uF 50V","TopLayer","C_0603","3165.354","-858.268","0","Capacitor"
"C26","0.1uF 50V","TopLayer","C_0603","3039.563","-1200.568","270","Capacitor"
"C25","0.1uF 50V","TopLayer","C_0603","3222.634","-1200.568","270","Capacitor"
"C24","0.1uF 50V","TopLayer","C_0603","3264.764","-1438.882","270","Capacitor"
"C23","0.1uF 50V","TopLayer","C_0603","3101.571","-1200.568","270","Capacitor"
"C22","0.1uF 50V","TopLayer","C_0603","3162.595","-1200.568","270","Capacitor"
"C39","1uF 50V","TopLayer","C_0603","1570.866","-1971.457","180","Capacitor"
"C38","10nF 16V","TopLayer","C_0603","1681.102","-2065.945","90","Capacitor"
"C37","1uF 50V","TopLayer","C_0603","1573.819","-2178.150","180","Capacitor"
"U18","LD3985M33R","TopLayer","SOT23-5","1578.740","-2071.850","90","Voltage regulator"
"D6","SM5819PL-TP","TopLayer","SOD-123","1392.716","-1902.558","270","Diode"
"U19","W25Q128JVEIQ","TopLayer","W-PDFN-8_(MLP8)_–_8MM_?_6MM__SE","1906.859","-1575.192","180","Flash Memory"
"X2","1787111","TopLayer","DMC_1,5/12-G1F-3,5-LRP20THRR72","246.063","-1181.102","90","THR-3.5-24P"
"SWD1","PLS2-5","TopLayer","PLS-5-3D","1780.118","-180.118","0","Header, 5-Pin"
"U1","STM32F765ZGT7","TopLayer","TQFP144_M","1807.087","-842.519","0","Microcontroller"
"BUZ1","L-KLS3-SMT-09X1.8","TopLayer","SPKR_PKMCS0909E4000-R1","1903.543","-2025.591","90","Piezoelectric Sounders"
"C1","8pF 50V","TopLayer","C_0603","1248.032","-893.701","0","Capacitor"
"C2","8pF 50V","TopLayer","C_0603","1248.032","-984.252","0","Capacitor"
"C8","2.2uF 16V","TopLayer","C_0603","2342.520","-526.307","180","Capacitor"
"C10","10uF 10V","TopLayer","TANTAL_TYPE_A","1589.567","-1893.701","0","Tantal Capacitor"
"C12","0.1uF 50V","TopLayer","C_0603","1456.693","-303.149","270","Capacitor"
"C13","0.1uF 50V","TopLayer","C_0603","2314.961","-980.315","90","Capacitor"
"C14","0.1uF 50V","TopLayer","C_0603","2342.520","-463.315","180","Capacitor"
"C16","0.1uF 50V","TopLayer","C_0603","1303.149","-795.275","270","Capacitor"
"C18","0.1uF 50V","TopLayer","C_0603","2314.961","-763.779","90","Capacitor"
"C40","0.1uF 50V","TopLayer","C_0603","1697.536","-1621.161","270","Capacitor"
"D9","ESDCAN24-2BLY","TopLayer","SOT23","3312.716","-728.346","180","ESD"
"D4","BZV55C10","TopLayer","SOD80C","610.236","-2118.110","90","Diode"
"R3","1K","TopLayer","R_0603","1932.087","-1767.717","90","Resistor"
"R4","3.3K","TopLayer","R_0603","2148.622","-1750.000","270","Resistor"
"R5","10k","TopLayer","R_0603","3317.598","-905.512","180","Resistor"
"R6","10k","TopLayer","R_0603","3317.598","-1094.488","0","Resistor"
"R7","100K","TopLayer","R_0603","496.000","-2187.193","180","Resistor"
"R31","10K","TopLayer","R_0603","2117.095","-1625.098","270","Resistor"
"RLINK SWD1","PLS2-5","TopLayer","PLS-5-3D","2292.520","-180.118","180","Header, 5-Pin"
"Q1","BC847B","TopLayer","SOT23","2033.465","-1771.929","270","Transistor"
"U3","SN65HVD232D","TopLayer","SO-8_M","3098.425","-725.394","0","CAN_transiever"
"Y1","NX3225GD","TopLayer","NX3225GD","1122.051","-940.942","0","Crystal Oscillator"
